title, title_normalized
"""Antmusic""","Antmusic"
"Cartrouble","Car Trouble"
"Stand and Deliver","Stand And Deliver"
"""Antmusic""","Antmusic"
"King of the Wild Frontier","Kings of the Wild Frontier"
"Kings Of The Wild Frontier","Kings of the Wild Frontier"
"Stand and Deliver","Stand And Deliver"
"Stand and Deliver","Stand And Deliver"
"""Antmusic""","Antmusic"
"Desparate but Not Serious","Desperate But Not Serious"
"Desperate but Not Serious","Desperate But Not Serious"
"Friend Or Foe","Friend or Foe"
"Goody Two Shoes (demo)","Goody Two Shoes"
"Room At The Top","Room At the Top"
"Stand and Deliver","Stand And Deliver"
"Chanukah Song","Chanukah Song 4"
"The Chanukah Song (Part 1)","The Chanukah Song"
"The Chanukah Song (Part II)","The Chanukah Song"
"The Chanukah Song Part II","The Chanukah Song"
"The Hannukah Song","The Chanukah Song"
"Stand and Deliver","Stand And Deliver"
"Up the Punks","Up The Punks"
"Chasing Pavements~","Chasing Pavements"
"Chasing Pavements (Live)","Chasing Pavements"
"Easy on Me","Easy On Me"
"Hell","Hello"
"Hometown Glory (live)","Hometown Glory"
"I’ll Be Waiting","I'll Be Waiting"
"Made You Feel My Love","Make You Feel My Love"
"Make You Feel","Make You Feel My Love"
"Make You Feel my Love","Make You Feel My Love"
"Make You Feel My Love [Live]","Make You Feel My Love"
"Oh My God x","Oh My God"
"Oh My God X","Oh My God"
"Rolling in the Deep","Rolling In The Deep"
"Rolling In The Deep~","Rolling In The Deep"
"Rolling In The Deep (Edit)","Rolling In The Deep"
"Rollin In  The Deep","Rolling In The Deep"
"Rumour Has It","Rumor Has It"
"Send My Love (to Your New Lover)","Send My Love (To Your New Lover)"
"Set Fire to The Rain","Set Fire to the Rain"
"Set Fire To The Rain","Set Fire to the Rain"
"Water Under The Bridge","Water Under the Bridge"
"Beside Table","Bedside Table"
"One in a Million","One In a Million"
"X Is for Kisses","X is for Kisses"
"Adia Victoria","Ain't Killed Me Yet"
"A Different Kind Of Love","Different Kind Of Love"
"Ain’t Killed Me Yet","Aint Killed Me Yet"
"Clean, Dope Queen Blues","Dope Queen Blues"
"Different Kind of Love","Different Kind Of Love"
"Different Kind Of Love (live)","Different Kind Of Love"
"Different Kinds of Love","Different Kind Of Love"
"Magnolia Blues (live)","Magnolia Blues"
"Magnolia Blues �","Magnolia Blues"
"Mortimer’s Blues","Mortimer's Blues"
"South Gonna Change","South Gotta Change"
"Victoria South Gotta Change","South Gotta Change"
"Went for a Ride","Went For A Ride"
"You Was Born to Die (feat. Kyshona Armstrong, Margo Price & Jason Isbell)","You Was Born to Die feat. Kyshona Armstrong, Margo Price and Jason Isbell"
"You Was Born To Die (feat. Kyshona Armstrong, Margo Price & Jason Isbell)","You Was Born to Die feat. Kyshona Armstrong, Margo Price and Jason Isbell"
"You Was Born to Die (ft. Kyshona Armstrong, Margo Price & Jason Isbell)","You Was Born to Die feat. Kyshona Armstrong, Margo Price and Jason Isbell"
"You Was Born To Die","You Was Born to Die feat. Kyshona Armstrong, Margo Price and Jason Isbell"
"Magnolia Blues�","Magnolia Blues"
"Mean-Hearted Woman�","Mean-Hearted Woman"
"South Gotta Change�","South Gotta Change"
"Whole World Knows�","Whole World Knows"
"Red to Violet feat Jamila Woods","Red To Violet feat. Jamila Woods"
"Red To Violet (feat. Jamila Woods)","Red To Violet feat. Jamila Woods"
"Red To Violet (Feat. Jamila Woods)","Red To Violet feat. Jamila Woods"
"Red to Violet (ft. Jamila Woods)","Red To Violet feat. Jamila Woods"
"Red To Violet (ft. Jamila Woods)","Red To Violet feat. Jamila Woods"
"Red to Violet","Red To Violet feat. Jamila Woods"
"Red To Violet","Red To Violet feat. Jamila Woods"
"Talk Is Cheap","Talk Talk"
"New York In The Dark","New York"
"I Heart California (clean)","I Heart California"
"Anything","anything"
"Anything 1","anything"
"anything (live)","anything"
"Dragon Eyes","dragon eyes"
"Free Treaure","Free Treasure"
"Half Return","half return"
"Sadness","Sadness As A Gift"
"Sadness as a Gift","Sadness As A Gift"
"Sadness As a Gift","Sadness As A Gift"
"Symboi","Symbol"
"symbol","Symbol"
"Zombie Girl","zombie girl"
"Presencolinensinainciusol","Prisencolinensinainciusol"
"Prisecolinensinaincuisol","Prisencolinensinainclusol"
"Prisencolinainciusol","Prisencolinensinainciusol"
"Prisencolinensinanciusol","Prisencolinensinainciusol"
"Prisencolinsinanciusol","Prisencolinensinainciusol"
"Hielo Seco (feat. Marc Ribot & Money Mark)","Hielo Seco feat. Marc Ribot and Money Mark"
"Hielo Seco (Feat. Marc Ribot & Money Mark)","Hielo Seco feat. Marc Ribot and Money Mark"
"Hielo Seco [ft. Marc Ribot and Money Mark]","Hielo Seco feat. Marc Ribot and Money Mark"
"Mentiras con cariño (Feat. iLe)","Mentiras con Cariño feat. iLe"
